"Date","Open","High","Low","Close","Volume"
"12/14/2006","17021.1","17021.1","17021.1","17021.1","4020000"
"12/15/2006","17872.1","17872.1","17872.1","17872.1","3800000"
"12/18/2006","18763.7","18763.7","18763.7","18763.7","3090000"
"12/19/2006","19695.8","19695.8","19695.8","19695.8","1970000"
"12/20/2006","20668.4","20668.4","20668.4","20668.4","3150000"
"12/21/2006","20303.7","20303.7","19655.3","19655.3","2240000"
"12/22/2006","18682.6","18682.6","18682.6","18682.6","2050000"
"12/25/2006","17750.5","17750.5","17750.5","17750.5","316870"
"12/26/2006","16899.5","18601.6","16899.5","18601.6","4300000"
"12/27/2006","19452.6","19452.6","18601.6","19452.6","5910000"
"12/28/2006","19047.4","19452.6","19047.4","19452.6","2070000"
"12/29/2006","18844.8","18844.8","18642.1","18642.1","998410"
"1/2/2007","18236.9","18236.9","17831.6","17831.6","1160000"
"1/3/2007","17831.6","18236.9","17831.6","18236.9","1070000"
"1/4/2007","19128.4","19128.4","19128.4","19128.4","2130000"
"1/5/2007","20060.5","20060.5","20060.5","20060.5","5410000"
"1/8/2007","20668.4","20668.4","19857.9","19857.9","5030000"
"1/9/2007","20060.5","20060.5","19857.9","19857.9","3220000"
"1/10/2007","19857.9","20060.5","19857.9","20060.5","4500000"
"1/11/2007","20263.2","20263.2","20263.2","20263.2","4060000"
"1/12/2007","21276.3","21276.3","21276.3","21276.3","4000000"
"1/15/2007","21681.6","22330","21681.6","22330","3930000"
"1/16/2007","23424.2","23424.2","23424.2","23424.2","4860000"
"1/17/2007","24275.3","24275.3","22289.5","22289.5","2090000"
"1/18/2007","21195.3","22330","21195.3","22330","4040000"
"1/19/2007","23424.2","23424.2","23424.2","23424.2","1360000"
"1/22/2007","24559","24559","24315.8","24315.8","6610000"
"1/23/2007","24315.8","24396.9","24315.8","24396.9","3490000"
"1/24/2007","24396.9","24396.9","23505.3","23505.3","2240000"
"1/25/2007","23505.3","23505.3","23505.3","23505.3","2040000"
"1/26/2007","23100","23870","23100","23505.3","1850000"
"1/29/2007","23707.9","24518.4","23707.9","24518.4","2880000"
"1/30/2007","25531.6","25734.2","25531.6","25531.6","4640000"
"1/31/2007","25855.8","26139.5","25855.8","26139.5","4440000"
"2/1/2007","26220.5","26220.5","25126.3","25126.3","1640000"
"2/2/2007","25531.6","25531.6","25531.6","25531.6","1140000"
"2/5/2007","25126.3","25126.3","24275.3","24275.3","1580000"
"2/6/2007","23910.5","25329","23910.5","25329","2800000"
"2/7/2007","24559","25734.2","24559","25734.2","1670000"
"2/8/2007","24477.9","24477.9","24477.9","24477.9","1490000"
"2/9/2007","23262.1","23262.1","23262.1","23262.1","2780000"
"2/12/2007","24396.9","24396.9","24396.9","24396.9","865740"
"2/13/2007","25612.7","25612.7","25126.3","25531.6","2300000"
"2/14/2007","25126.3","25126.3","24721.1","24721.1","1140000"
"2/15/2007","24721.1","24721.1","24721.1","24721.1","854720"
"2/26/2007","25936.9","25936.9","25936.9","25936.9","3310000"
"2/27/2007","27233.7","27233.7","26950","26950","4150000"
"2/28/2007","26950","26950","25612.7","25612.7","995550"
"3/1/2007","25531.6","25531.6","24721.1","24923.7","1410000"
"3/2/2007","25410","26139.5","25410","26139.5","2340000"
"3/5/2007","26139.5","26139.5","25734.2","25734.2","1790000"
"3/6/2007","24541.6","24541.6","24501.1","24501.1","2880000"
"3/7/2007","25352.9","25352.9","24744.5","24744.5","629450"
"3/8/2007","24541.6","24541.6","23730.3","24338.8","1220000"
"3/9/2007","25150.1","25150.1","24338.8","24338.8","802190"
"3/12/2007","24744.5","24744.5","24338.8","24744.5","1250000"
"3/13/2007","24825.6","24825.6","23608.6","24744.5","1070000"
"3/14/2007","24541.6","24541.6","23527.5","23527.5","822230"
"3/15/2007","22351.1","22351.1","22351.1","22351.1","1470000"
"3/16/2007","22351.1","23446.4","22351.1","23446.4","1460000"
"3/19/2007","24338.8","24338.8","23446.4","23446.4","1510000"
"3/20/2007","23121.9","23121.9","22716.2","22797.4","1440000"
"3/21/2007","21661.5","21742.7","21661.5","21702.1","1630000"
"3/22/2007","21904.9","22716.2","21904.9","22513.4","2000000"
"3/23/2007","22513.4","22513.4","22513.4","22513.4","1710000"
"3/26/2007","21904.9","21904.9","21499.3","21904.9","1540000"
"3/27/2007","20890.8","20890.8","20809.7","20809.7","901230"
"3/28/2007","19795.6","20809.7","19795.6","20809.7","1810000"
"3/29/2007","20809.7","21823.8","20809.7","21823.8","1680000"
"3/30/2007","22229.4","22310.6","21945.5","21945.5","1290000"
"4/2/2007","20850.2","21296.5","20850.2","21093.6","823950"
"4/3/2007","20282.3","20282.3","20241.8","20282.3","928850"
"4/4/2007","20282.3","20850.2","20282.3","20850.2","339200"
"4/5/2007","21012.5","21012.5","20890.8","20890.8","723050"
"4/6/2007","20404","20688","20404","20688","556450"
"4/9/2007","20688","20890.8","20688","20890.8","695140"
"4/10/2007","20890.8","21134.2","20688","21134.2","1190000"
"4/11/2007","21134.2","21296.5","21134.2","21296.5","643330"
"4/12/2007","21823.8","21904.9","21702.1","21904.9","1150000"
"4/13/2007","22716.2","22716.2","21093.6","21093.6","2130000"
"4/16/2007","21621","21621","21296.5","21296.5","1460000"
"4/17/2007","21093.6","21093.6","20890.8","20890.8","443670"
"4/18/2007","21093.6","21093.6","21093.6","21093.6","901370"
"4/19/2007","21093.6","21093.6","20485.2","20485.2","1070000"
"4/20/2007","20079.5","20079.5","19471","19471","1940000"
"4/23/2007","18659.8","18659.8","18497.5","18497.5","809490"
"4/24/2007","17605.1","17605.1","17605.1","17605.1","693710"
"4/25/2007","16753.2","17240","16753.2","17240","3170000"
"5/2/2007","17483.4","17605.1","17483.4","17564.5","1960000"
"5/3/2007","17605.1","17929.6","17605.1","17929.6","2180000"
"5/4/2007","18822","18822","18822","18822","1370000"
"5/7/2007","19755","19755","19755","19755","1950000"
"5/8/2007","20282.3","20282.3","20201.2","20282.3","2180000"
"5/9/2007","20282.3","20282.3","20282.3","20282.3","1490000"
"5/10/2007","21296.5","21296.5","21296.5","21296.5","1880000"
"5/11/2007","22351.1","22351.1","22351.1","22351.1","2380000"
"5/14/2007","23446.4","23446.4","23446.4","23446.4","2720000"
"5/15/2007","22310.6","22310.6","22310.6","22310.6","1100000"
"5/16/2007","22107.8","22107.8","21580.4","21580.4","1800000"
"5/17/2007","21296.5","22594.5","21296.5","22594.5","2190000"
"5/18/2007","22310.6","22310.6","21945.5","21945.5","2100000"
"5/21/2007","23000.2","23000.2","22635.1","22635.1","2700000"
"5/22/2007","22513.4","22635.1","22513.4","22635.1","2300000"
"5/23/2007","22635.1","22635.1","22513.4","22513.4","2620000"
"5/24/2007","22209.2","22209.2","21904.9","21904.9","1650000"
"5/25/2007","21600.7","21844.1","21600.7","21783.2","1940000"
"5/28/2007","21661.5","21722.4","21661.5","21722.4","1690000"
"5/29/2007","21296.4","21296.4","21113.9","21113.9","1780000"
"5/30/2007","20688","21296.4","20688","21296.4","1960000"
"5/31/2007","21296.4","21296.4","21235.6","21235.6","1580000"
"6/1/2007","21174.8","21174.8","20992.2","20992.2","883820"
"6/4/2007","20688","20748.8","20688","20688","1670000"
"6/5/2007","20079.5","20079.5","19653.6","19653.6","1920000"
"6/6/2007","19653.6","20079.5","19653.6","20079.5","1590000"
"6/7/2007","20383.7","20566.3","20383.7","20566.3","842410"
"6/8/2007","20383.7","20383.7","19775.3","20079.5","1570000"
"6/11/2007","19471","19471","19471","19471","1410000"
"6/12/2007","19471","19471","19410.2","19410.2","1420000"
"6/13/2007","18740.9","18740.9","18619.2","18619.2","4070000"
"6/14/2007","18497.5","18558.3","18497.5","18558.3","4190000"
"6/15/2007","18558.3","18862.6","18558.3","18862.6","2720000"
"6/18/2007","19166.8","19166.8","18619.2","18619.2","2640000"
"6/19/2007","18436.6","18619.2","18436.6","18619.2","2850000"
"6/20/2007","18558.3","18740.9","18558.3","18619.2","1940000"
"6/21/2007","18619.2","18619.2","18254.1","18254.1","1440000"
"6/22/2007","18254.1","18254.1","17949.9","17949.9","2880000"
"6/25/2007","18801.7","18801.7","18801.7","18801.7","1640000"
"6/26/2007","19714.4","19714.4","19714.4","19714.4","2090000"
"6/27/2007","20383.7","20383.7","18923.4","18923.4","4550000"
"6/28/2007","18862.6","18862.6","18740.9","18740.9","1760000"
"6/29/2007","18680","18680","18680","18680","1310000"
"7/2/2007","18254.1","18375.8","18254.1","18375.8","2810000"
"7/3/2007","18436.6","18436.6","18436.6","18436.6","2100000"
"7/4/2007","18862.6","18984.3","18862.6","18984.3","1570000"
"7/5/2007","18558.3","18862.6","18558.3","18862.6","1920000"
"7/6/2007","18680","18740.9","18680","18740.9","544530"
"7/9/2007","18558.3","18740.9","18558.3","18740.9","1310000"
"7/10/2007","18680","18740.9","18680","18740.9","822090"
"7/11/2007","18862.6","18862.6","18740.9","18740.9","701290"
"7/12/2007","18740.9","18740.9","18619.2","18619.2","756540"
"7/13/2007","18254.1","18254.1","18193.3","18193.3","9140000"
"7/16/2007","17706.5","17706.5","17645.6","17645.6","3580000"
"7/17/2007","17645.6","17645.6","17645.6","17645.6","4430000"
"7/18/2007","17645.6","17645.6","17523.9","17523.9","5080000"
"7/19/2007","17523.9","17523.9","17341.4","17341.4","1620000"
"7/20/2007","17402.2","17402.2","17219.7","17219.7","3240000"
"7/23/2007","16976.3","16976.3","16550.4","16550.4","2350000"
"7/24/2007","16587","16587","16282.1","16282.1","3580000"
"7/25/2007","15855.2","15855.2","15550.3","15550.3","3930000"
"7/26/2007","15245.4","15245.4","15245.4","15245.4","3760000"
"7/27/2007","15245.4","15245.4","15245.4","15245.4","3560000"
"7/30/2007","15428.3","15611.3","15428.3","15428.3","2720000"
"7/31/2007","15245.4","15245.4","14940.5","14940.5","3090000"
"8/1/2007","14635.6","14818.5","14635.6","14635.6","4280000"
"8/2/2007","14513.6","14513.6","13903.8","13903.8","3210000"
"8/3/2007","13233","13355","13233","13233","5650000"
"8/6/2007","13233","13294","13233","13294","2770000"
"8/7/2007","13598.9","13903.8","13598.9","13903.8","2380000"
"8/8/2007","14025.7","14574.6","14025.7","14574.6","5180000"
"8/9/2007","15001.5","15245.4","15001.5","15245.4","5130000"
"8/10/2007","14940.5","14940.5","14574.6","14635.6","4840000"
"8/13/2007","14147.7","14147.7","14086.7","14086.7","3450000"
"8/14/2007","14086.7","14330.7","14086.7","14330.7","2350000"
"8/15/2007","14025.7","14025.7","14025.7","14025.7","1840000"
"8/16/2007","13781.8","13781.8","13598.9","13598.9","3300000"
"8/17/2007","13415.9","13415.9","13415.9","13415.9","4630000"
"8/20/2007","13415.9","13720.8","13415.9","13720.8","1920000"
"8/21/2007","13842.8","13903.8","13842.8","13842.8","2060000"
"8/22/2007","14025.7","14025.7","13964.8","13964.8","2950000"
"8/23/2007","13964.8","13964.8","13720.8","13720.8","2150000"
"8/24/2007","13842.8","14025.7","13842.8","14025.7","3190000"
"8/27/2007","14025.7","14025.7","13781.8","13781.8","2110000"
"8/28/2007","13781.8","13781.8","13659.9","13781.8","1570000"
"8/29/2007","13720.8","13781.8","13720.8","13781.8","1190000"
"8/30/2007","13720.8","13720.8","13720.8","13720.8","2490000"
"8/31/2007","13720.8","13781.8","13720.8","13720.8","2190000"
"9/4/2007","13720.8","13964.8","13720.8","13964.8","1680000"
"9/5/2007","13781.8","13903.8","13720.8","13720.8","3790000"
"9/6/2007","13720.8","13720.8","13720.8","13720.8","1220000"
"9/7/2007","13720.8","13720.8","13720.8","13720.8","1380000"
"9/10/2007","13659.9","13659.9","13598.9","13598.9","1400000"
"9/11/2007","13598.9","13598.9","13598.9","13598.9","1430000"
"9/12/2007","13598.9","13598.9","13537.9","13598.9","1580000"
"9/13/2007","13598.9","13598.9","13598.9","13598.9","1790000"
"9/14/2007","13598.9","13720.8","13598.9","13720.8","2070000"
"9/17/2007","13598.9","13659.9","13598.9","13659.9","1930000"
"9/18/2007","13537.9","13598.9","13537.9","13537.9","1350000"
"9/19/2007","13537.9","13598.9","13537.9","13598.9","1730000"
"9/20/2007","13598.9","13720.8","13598.9","13720.8","1900000"
"9/21/2007","13842.8","13903.8","13842.8","13903.8","2730000"
"9/24/2007","14208.7","14574.6","14208.7","14574.6","2960000"
"9/25/2007","15245.4","15245.4","15184.4","15245.4","4910000"
"9/26/2007","15855.2","15855.2","15245.4","15245.4","4840000"
"9/27/2007","15245.4","15855.2","15245.4","15855.2","4500000"
"9/28/2007","16343","16648","16343","16648","5120000"
"10/1/2007","17440.7","17440.7","17379.7","17440.7","4670000"
"10/2/2007","18294.5","18294.5","18050.5","18050.5","8420000"
"10/3/2007","18355.4","18355.4","18172.5","18355.4","6810000"
"10/4/2007","17989.5","18050.5","17989.5","17989.5","3830000"
"10/5/2007","17440.7","17440.7","17135.8","17135.8","4010000"
"10/8/2007","17197.2","17197.2","16828.7","16828.7","3420000"
"10/9/2007","17197.2","17627.1","17197.2","17627.1","2610000"
"10/10/2007","17627.1","17627.1","17627.1","17627.1","2170000"
"10/11/2007","17504.3","17504.3","17258.6","17258.6","1710000"
"10/12/2007","17258.6","17381.5","17258.6","17381.5","1380000"
"10/15/2007","17381.5","17381.5","17197.2","17197.2","1860000"
"10/16/2007","17197.2","17197.2","17074.4","17074.4","2460000"
"10/17/2007","17074.4","17381.5","17074.4","17320.1","1920000"
"10/18/2007","17197.2","17197.2","17074.4","17074.4","1680000"
"10/19/2007","16705.9","16890.1","16705.9","16890.1","2110000"
"10/22/2007","16583","16767.3","16583","16705.9","2730000"
"10/23/2007","16583","16644.5","16583","16644.5","5030000"
"10/24/2007","16890.1","17197.2","16890.1","17197.2","2610000"
"10/25/2007","17197.2","17197.2","17013","17013","2790000"
"10/26/2007","17013","17013","16890.1","16890.1","1670000"
