"Date","Close","Open","High","Low","Volume"
"11/16/2007","2530","2530","2530","2530","8390000"
"11/19/2007","2404.5","2404.5","2404.5","2404.5","4070000"
"11/20/2007","2300","2300","2300","2300","1980000"
"11/21/2007","2383.6","2195.4","2383.6","2195.4","24590000"
"11/22/2007","2383.6","2383.6","2383.6","2383.6","8980000"
"11/23/2007","2300","2320.9","2341.8","2300","3590000"
"11/26/2007","2279.1","2258.1","2279.1","2258.1","4570000"
"11/27/2007","2195.4","2258.1","2258.1","2195.4","8850000"
"11/28/2007","2237.2","2216.3","2237.2","2216.3","4420000"
"11/29/2007","2237.2","2237.2","2237.2","2216.3","4330000"
"11/30/2007","2216.3","2216.3","2216.3","2216.3","3870000"
"12/3/2007","2216.3","2237.2","2237.2","2216.3","2320000"
"12/4/2007","2195.4","2195.4","2216.3","2195.4","4220000"
"12/5/2007","2174.5","2153.6","2195.4","2153.6","3790000"
"12/6/2007","2195.4","2237.2","2237.2","2195.4","2590000"
"12/7/2007","2132.7","2153.6","2174.5","2132.7","4500000"
"12/10/2007","2038.6","2090.9","2090.9","2038.6","5280000"
"12/11/2007","1944.5","1975.9","1975.9","1944.5","6230000"
"12/12/2007","1965.4","1850.4","2007.2","1850.4","10390000"
"12/13/2007","1892.2","1965.4","1965.4","1892.2","4400000"
"12/14/2007","1902.7","1881.8","1913.2","1881.8","2740000"
"12/17/2007","1902.7","1923.8","1923.8","1902.7","2950000"
"12/18/2007","1955.5","1902.7","1955.5","1902.7","3520000"
"12/19/2007","2050.7","2008.4","2050.7","2008.4","7340000"
"12/20/2007","1987.3","2050.7","2050.7","1976.7","3550000"
"12/21/2007","1987.3","1955.5","1997.8","1955.5","3850000"
"12/24/2007","2008.4","2019","2019","2008.4","5640000"
"12/25/2007","1987.3","2008.4","2008.4","1987.3","3700000"
"12/26/2007","1987.3","1923.8","1987.3","1923.8","5320000"
"12/27/2007","1987.3","1987.3","1997.8","1987.3","2910000"
"12/28/2007","2008.4","1987.3","2008.4","1987.3","2750000"
"1/2/2008","2019","2008.4","2029.5","2008.4","5900000"
"1/3/2008","2029.5","2040.1","2040.1","2029.5","5820000"
"1/4/2008","2050.7","2050.7","2050.7","2029.5","7470000"
"1/7/2008","2082.4","2071.8","2082.4","2050.7","14660000"
"1/8/2008","2177.5","2082.4","2177.5","2082.4","12310000"
"1/9/2008","2283.2","2177.5","2283.2","2093","20120000"
"1/10/2008","2262.1","2262.1","2262.1","2177.5","16080000"
"1/11/2008","2241","2241","2304.4","2219.8","15790000"
"1/14/2008","2241","2262.1","2262.1","2219.8","9560000"
"1/15/2008","2135.2","2198.7","2198.7","2135.2","10340000"
"1/16/2008","2219.8","2177.5","2241","2177.5","14930000"
"1/17/2008","2114.1","2198.7","2198.7","2114.1","5360000"
"1/18/2008","2156.4","2071.8","2156.4","2071.8","4770000"
"1/21/2008","2114.1","2135.2","2156.4","2114.1","2400000"
"1/22/2008","2050.7","2050.7","2071.8","2050.7","2810000"
"1/23/2008","1955.5","2029.5","2029.5","1955.5","4040000"
"1/24/2008","1966.1","2029.5","2029.5","1966.1","3210000"
"1/25/2008","1966.1","1955.5","1987.3","1955.5","2790000"
"1/28/2008","1976.7","2008.4","2008.4","1966.1","1390000"
"1/29/2008","2019","1987.3","2019","1987.3","4050000"
"1/30/2008","2114.1","2114.1","2114.1","2071.8","12250000"
"1/31/2008","2071.8","2008.4","2071.8","2008.4","2780000"
"2/1/2008","2135.2","2135.2","2135.2","2093","6500000"
"2/12/2008","2114.1","2156.4","2156.4","2093","3540000"
"2/13/2008","2050.7","2093","2093","2050.7","5090000"
"2/14/2008","2061.3","2050.7","2071.8","2050.7","3470000"
"2/15/2008","2050.7","2050.7","2061.3","2050.7","6220000"
"2/18/2008","1966.1","1955.5","1976.7","1955.5","7060000"
"2/19/2008","1955.5","1923.8","1966.1","1923.8","2910000"
"2/20/2008","1860.4","1955.5","1966.1","1860.4","3110000"
"2/21/2008","1775.9","1775.9","1775.9","1775.9","2110000"
"2/22/2008","1712.4","1691.3","1712.4","1691.3","7880000"
"2/25/2008","1797","1775.9","1797","1775.9","7820000"
"2/26/2008","1733.6","1797","1797","1733.6","8460000"
"2/27/2008","1754.7","1733.6","1786.4","1733.6","3130000"
"2/28/2008","1744.1","1775.9","1775.9","1744.1","1690000"
"2/29/2008","1701.9","1723","1733.6","1691.3","5080000"
"3/3/2008","1617.3","1617.3","1627.9","1617.3","6820000"
"3/4/2008","1543.3","1543.3","1543.3","1543.3","3620000"
"3/5/2008","1490.4","1469.3","1501","1469.3","9480000"
"3/6/2008","1564.4","1564.4","1564.4","1564.4","849980"
"3/7/2008","1638.4","1638.4","1638.4","1638.4","14460000"
"3/10/2008","1712.4","1712.4","1712.4","1712.4","14210000"
"3/11/2008","1701.9","1754.7","1754.7","1701.9","8120000"
"3/12/2008","1733.6","1712.4","1775.9","1712.4","10120000"
"3/13/2008","1744.1","1754.7","1754.7","1712.4","5170000"
"3/14/2008","1712.4","1712.4","1733.6","1712.4","3480000"
"3/17/2008","1627.9","1649","1659.6","1627.9","4600000"
"3/18/2008","1553.9","1553.9","1575","1553.9","9690000"
"3/19/2008","1553.9","1627.9","1627.9","1553.9","6070000"
"3/20/2008","1532.7","1532.7","1585.6","1532.7","5580000"
"3/21/2008","1458.7","1532.7","1532.7","1458.7","9090000"
"3/24/2008","1395.3","1395.3","1395.3","1395.3","3850000"
"3/25/2008","1331.9","1331.9","1331.9","1331.9","1310000"
"3/26/2008","1374.2","1279","1374.2","1279","12980000"
"3/27/2008","1384.7","1384.7","1384.7","1384.7","6050000"
"3/28/2008","1395.3","1395.3","1395.3","1395.3","4680000"
"3/31/2008","1405.9","1405.9","1405.9","1405.9","2660000"
"4/1/2008","1416.5","1416.5","1416.5","1416.5","439680"
"4/2/2008","1427","1427","1427","1427","1970000"
"4/3/2008","1437.6","1437.6","1437.6","1437.6","2370000"
"4/4/2008","1448.2","1448.2","1448.2","1448.2","1690"
"4/7/2008","1469.3","1469.3","1469.3","1469.3","110760"
"4/8/2008","1490.4","1490.4","1490.4","1448.2","22650000"
