Date,Open,High,Low,Close,Volume
7/28/2000,100,100,100,100,4200
7/31/2000,101.55,101.55,101.55,101.55,10300
8/2/2000,103.38,103.38,103.38,103.38,300
8/4/2000,105.2,105.2,105.2,105.2,3700
8/7/2000,106.92,106.92,106.92,106.92,13100
8/9/2000,108.64,108.64,108.64,108.64,15900
8/11/2000,110.36,110.36,110.36,110.36,13600
8/14/2000,112.08,112.08,112.08,112.08,11700
8/16/2000,113.8,113.8,113.8,113.8,23000
8/18/2000,115.52,115.52,115.52,115.52,10300
8/21/2000,117.24,117.24,117.24,117.24,35500
8/23/2000,118.96,118.96,118.96,118.96,111400
8/25/2000,118.84,118.96,118.84,118.84,95200
8/28/2000,117,118.84,117,117,97900
8/30/2000,115.15,117,115.15,115.15,126500
9/1/2000,113.37,115.15,113.37,113.37,96600
9/6/2000,112.51,113.37,112.51,112.51,60900
9/8/2000,112.39,112.51,112.39,112.39,49500
9/11/2000,114.11,114.11,114.11,114.11,31300
9/13/2000,116.08,116.08,116.08,116.08,18400
9/15/2000,118.04,118.04,118.04,118.04,45900
9/18/2000,118.19,118.19,118.19,118.19,64600
9/20/2000,118.21,118.21,118.21,118.21,41600
9/22/2000,118.76,118.76,118.76,118.76,66900
9/25/2000,118.98,118.98,118.98,118.98,56600
9/27/2000,119.69,119.69,119.69,119.69,56600
9/29/2000,120.71,120.71,120.71,120.71,52800
10/2/2000,120.92,120.92,120.92,120.92,48600
10/4/2000,121.14,121.14,121.14,121.14,58400
10/6/2000,122.21,122.21,122.21,122.21,39600
10/9/2000,124.33,124.33,124.33,124.33,25900
10/11/2000,126.45,126.45,126.45,126.45,53300
10/13/2000,128.57,128.57,128.57,128.57,51900
10/16/2000,130.71,130.71,130.71,130.71,26600
10/18/2000,132.85,132.85,132.85,132.85,25700
10/20/2000,135.04,135.04,135.04,135.04,65900
10/23/2000,136.55,136.55,136.55,136.55,39100
10/25/2000,137.08,137.08,137.08,137.08,45000
10/27/2000,139.57,139.57,139.57,139.57,88200
10/30/2000,140.48,140.48,140.48,140.84,101200
11/1/2000,143.33,143.33,143.33,143.33,95900
11/3/2000,145.83,145.83,145.83,145.83,78800
11/6/2000,148.57,148.57,148.57,148.57,55300
11/8/2000,151.32,151.32,151.32,151.32,29200
11/10/2000,154.08,154.08,154.08,154.08,57300
11/13/2000,156.84,156.84,156.84,156.84,21700
11/15/2000,159.6,159.6,159.6,159.6,12400
11/17/2000,162.36,162.36,162.36,162.36,34700
11/20/2000,165.17,165.17,165.17,165.7,62700
11/22/2000,165.52,165.52,165.52,165.52,136200
11/24/2000,166.17,166.17,166.17,166.17,116500
11/27/2000,165.6,166.17,165.6,165.6,88900
11/29/2000,168.73,168.73,168.73,168.73,75700
12/1/2000,171.87,171.87,171.87,171.87,41300
12/4/2000,175,175,175,175,26500
12/6/2000,178.13,178.13,178.13,178.13,57700
12/8/2000,181.26,181.26,181.26,181.26,187900
12/11/2000,181.94,181.94,181.94,189.94,124700
12/13/2000,184.48,184.48,184.48,184.48,105100
12/15/2000,187.62,187.62,187.62,187.62,46300
12/18/2000,191.11,191.11,191.11,191.11,81700
12/20/2000,194.85,194.85,194.85,194.85,38900
12/22/2000,198.58,198.58,198.58,198.58,61000
12/25/2000,202.32,202.32,202.32,202.32,20600
12/27/2000,203.09,203.09,203.09,203.09,40800
12/29/2000,206.83,206.83,206.83,206.83,59500
1/3/2001,210.56,210.56,210.56,210.56,42900
1/5/2001,214.32,214.32,214.32,214.32,50200
1/8/2001,218.12,218.12,218.12,218.12,71500
1/10/2001,222.15,222.15,222.15,222.15,183800
1/12/2001,225.67,225.67,225.67,225.67,223700
1/15/2001,228.35,228.35,228.35,228.35,122900
1/17/2001,232.68,232.68,232.68,232.68,87400
1/19/2001,236.97,236.97,236.97,236.97,42600
1/29/2001,241.36,241.36,241.36,241.36,9000
1/31/2001,245.8,245.8,245.8,245.8,6700
2/2/2001,250.23,250.23,250.23,250.23,23300
2/5/2001,254.96,254.96,254.96,254.96,2200
2/7/2001,259.93,259.93,259.93,259.93,8400
2/9/2001,260.15,260.15,260.15,260.15,314000
2/12/2001,256.18,260.15,256.18,256.18,130100
2/14/2001,252.21,256.18,252.21,252.21,78000
2/16/2001,248.98,252.21,248.98,248.98,43400
2/19/2001,245.99,245.99,245.99,245.99,34800
